Scientific Name,English Name,Common Name,SEO Name,Order,Family
Accipiter bicolor chilensis,Bicolored chilean hawk,Peuquito,Gavilán chileno,Accipitriformes,Accipitrinae
Actitis macularius,Spotted sandpiper,Playero manchado,Andarrios maculado,Charadriiformes,Scolopacidae
Aeronautes andecolus,Andean swift,Vencejo chico,Vencejo andino,Apodiformes,Apodidae
Agelaioides badius,Bay-winged cowbird,Tordo bayo,Tordo músico,Passeriformes,Icteridae
Agelasticus thilius thilius,Yellow-winged  blackbird,Trile,Varillero aliamarillo,Passeriformes,Icteridae
Agriornis albicauda albicauda,White-tailed shrike-tyrant,Mero de la puna,Gaucho andino,Passeriformes,Tyrannidae
Agriornis lividus,Great shrike-tyrant,Mero,Gaucho grande,Passeriformes,Tyrannidae
Agriornis micropterus,Grey-bellied shrike-tyrant,Mero de tarapacá,Gaucho gris,Passeriformes,Tyrannidae
Agriornis montanus,Black-billed shrike-tyrant,Mero gaucho,Gaucho serrano,Passeriformes,Tyrannidae
Agriornis murinus,Lesser shrike-tyrant,Mero chico,Gaucho chico,Passeriformes,Tyrannidae
Alopochelidon fucata,Tawny-headed swallow,Golondrina de cabeza rojiza,Golondrina cabecicastaña,Passeriformes,Hirundinidae
Amblyramphus holosericeus,Scarlet-headed blackbird,Federal,Cacique piquiclaro,Passeriformes,Icteridae
Anairetes fernandezianus,Juan fernandez tit-tyrant,Cachudito de juan fernández,Cachudito de Juan Fernández,Passeriformes,Tyrannidae
Anairetes flavirostris,Yellow-billed tit-tyrant,Cachudito del norte,Cachudito piquiamarillo,Passeriformes,Tyrannidae
Anairetes parulus parulus,Tufted tit-tyrant,Cachudito,Cachudito piquinegro,Passeriformes,Tyrannidae
Anairetes reguloides reguloides,Pied-crested tit-tyrant,Cachudito de cresta blanca,Cachudito crestiblanco,Passeriformes,Tyrannidae
Anas bahamensis rubrirostris,White-cheecked pintail,Pato gargantillo,Ánade gargantillo,Anseriformes,Anatinae
Anas flavirostris flavirostris,Speckled teal,Pato jergón chico,Cerceta barcina,Anseriformes,Anatinae
Anas georgica spinicauda,Yellow-billed   pintail,Pato jergón grande,Ánade maicero,Anseriformes,Anatinae
Anas platyrhynchos,Mallard duck,Pato de collar,Ánade azulón,Anseriformes,Anatinae
Anous albivitta,Grey noody,Gaviotín de san ambrosio,Tiñosa gris,Charadriiformes,Sterninae
Anous minutus,Black noddy,Gaviotín oscuro,Tiñosa menuda,Charadriiformes,Sterninae
Anous stolidus pileatus,Brown noddy,Gaviotín de san félix,Tiñosa boba,Charadriiformes,Sterninae
Anthus  peruvianus,Peruvian pipit,Bailarín chico peruano,Bisbita amarillento,Passeriformes,Motacillidae
Anthus correndera,Correndera pipit,Bailarín chico,Bisbita correndera,Passeriformes,Motacillidae
Anthus hellmayri,Hellmayr's pipit,Bailarín chico argentino,Bisbita pálido,Passeriformes,Motacillidae
Aphrastura masafuerae,Masafuera rayadito,Rayadito de más afuera,Rayadito de Mas Afuera,Passeriformes,Furnariinae
Aphrastura spinicauda spinicauda,Thorn-tailed rayadito,Rayadito,Rayadito común,Passeriformes,Furnariinae
Aphrodroma brevirostris,Kerguelen petrel,Fardela de kerguelen,Petrel de las Kerguelen,Procellariiformes,Procellariidae
Aptenodytes forsteri,Emperor penguin,Pingüino emperador,Pingüino emperador,Sphenisciformes,Spheniscidae
Aptenodytes patagonicus patagonicus,King penguin,Pingüino rey,Pingüino rey,Sphenisciformes,Spheniscidae
Aramus guarauna,Limpkin,Carau,Carrao,Gruiformes,Aramidae
Ardea alba egretta,Great egret,Garza grande,Garceta grande,Pelecaniformes,Ardeidae
Ardea cocoi,White-necked  heron,Garza cuca,Garza cuca,Pelecaniformes,Ardeidae
Ardenna bulleri,Buller's shearwater,Fardela de dorso gris,Pardela dorsigris,Procellariiformes,Procellariidae
Ardenna carneipes,Flesh footed shearwater,Fardela negra de patas pálidas,Pardela paticlara,Procellariiformes,Procellariidae
Ardenna creatopus,Pink-footed shearwater,Fardela blanca,Pardela patirrosa,Procellariiformes,Procellariidae
Ardenna gravis,Great shearwater,Fardela capirotada,Pardela capirotada,Procellariiformes,Procellariidae
Ardenna grisea,Sooty shearwater,Fardela negra,Pardela sombría,Procellariiformes,Procellariidae
Ardenna pacifica,Wedge-tailed shearwater,Fardela del pacifico,Pardela del Pacífico,Procellariiformes,Procellariidae
Arenaria interpres,Ruddy turnstone,Playero vuelvepiedras,Vuelvepiedras común,Charadriiformes,Scolopacidae
Asio flammeus suinda,Short-eared owl,Nuco,Buho campestre,Strigiformes,Strigidae
Asthenes anthoides,Austral canastero,Canastero del sur,Canastero austral,Passeriformes,Furnariinae
Asthenes dorbignyi arequipae,Creamy-breasted canastero,Canastero del norte,Canastero rojizo,Passeriformes,Furnariinae
Asthenes modesta modesta,Cordilleran canastero,Canastero chico,Canastero pálido,Passeriformes,Furnariinae
Asthenes pudibunda,Canyon canastero,Canastero de las quebradas,Canastero peruano,Passeriformes,Furnariinae
Asthenes pyrrholeuca,Sharp-billed  canastero,Canastero de cola larga,Canastero coludo,Passeriformes,Furnariinae
Athene cunicularia cunicularia,Burrowing owl,Pequén,Mochuelo de madriguera,Strigiformes,Strigidae
Attagis gayi gayi,Rufous-bellied seedsnipe,Perdicita cordillerana,Agachona grande,Charadriiformes,Thinocoridae
Attagis malouinus,White-bellied seedsnipe,Perdicita cordillerana austral,Agachona patagona,Charadriiformes,Thinocoridae
Bartramia longicauda,Upland sandpiper,Batitú,Correlimos batitú,Charadriiformes,Scolopacidae
Bubo magellanicus,Magellanic horned owl,Tucúquere,Buho magallánico,Strigiformes,Strigidae
Bubulcus ibis ibis,Cattle egret,Garza boyera,Garcita bueyera,Pelecaniformes,Ardeidae
Burhinus superciliaris,Peruvian thick-knee,Chorlo cabezón,Alcaraván peruano,Charadriiformes,Burhinidae
Buteo albigula,White-throated hawk,Aguilucho chico,Busardo gorgiblanco,Accipitriformes,Accipitrinae
Buteo swainsoni,Swainson's hawk,Aguilucho langostero,Busardo chapulinero,Accipitriformes,Accipitrinae
